user_id,prosthesis_type,muscle_group,signal_frequency,signal_duration,signal_amplitude,signal_time
871,arm,Biceps,245,3200,3.45,2026-04-07 12:15:45
871,arm,Biceps,267,3450,3.62,2026-04-07 12:15:46
871,arm,Biceps,238,2980,3.31,2026-04-07 12:15:47
871,arm,Biceps,289,3670,3.89,2026-04-07 12:15:48
871,arm,Biceps,252,3100,3.52,2026-04-07 12:15:49
871,arm,Triceps,178,2800,2.89,2026-04-07 12:15:50
871,arm,Triceps,189,2950,2.97,2026-04-07 12:15:51
871,arm,Triceps,165,2600,2.74,2026-04-07 12:15:52
871,arm,Forearm,312,1800,4.12,2026-04-07 12:15:53
871,arm,Forearm,298,1750,3.98,2026-04-07 12:15:54
871,arm,Forearm,305,1900,4.05,2026-04-07 12:15:55
871,leg,Quadriceps,156,4200,2.34,2026-04-07 12:15:56
871,leg,Quadriceps,148,4050,2.21,2026-04-07 12:15:57
871,leg,Quadriceps,162,4350,2.45,2026-04-07 12:15:58
871,leg,Hamstrings,134,3800,2.12,2026-04-07 12:15:59
871,leg,Hamstrings,142,3950,2.28,2026-04-07 12:16:00
318,hand,Biceps,389,2500,4.56,2026-04-07 12:16:01
318,hand,Biceps,412,2680,4.78,2026-04-07 12:16:02
318,hand,Biceps,395,2450,4.61,2026-04-07 12:16:03
318,hand,Biceps,423,2750,4.89,2026-04-07 12:16:04
318,hand,Biceps,387,2400,4.52,2026-04-07 12:16:05
318,hand,Triceps,234,2100,3.45,2026-04-07 12:16:06
318,hand,Triceps,245,2250,3.62,2026-04-07 12:16:07
318,hand,Triceps,228,2050,3.38,2026-04-07 12:16:08
318,hand,Forearm,356,1950,4.23,2026-04-07 12:16:09
318,hand,Forearm,367,1850,4.31,2026-04-07 12:16:10
318,hand,Forearm,342,1900,4.18,2026-04-07 12:16:11
318,hand,Hamstrings,189,3200,2.87,2026-04-07 12:16:12
318,hand,Hamstrings,195,3350,2.94,2026-04-07 12:16:13
318,hand,Hamstrings,178,3100,2.76,2026-04-07 12:16:14
